BCRBG_04062___2763	3c
BCRBG_04067___2492	3d
BCRBG_04067___2980	3b
BCRBG_04067___4586	4a
BCRBG_04074___1217	3b
BCRBG_04074___1498	1d
BCRBG_04097___1411	3d
BCRBG_04102___3666	3b
BCRBG_04116___2739	3d
BCRBG_04116___6152	1e
BCRBG_04116___6914	3d
BCRBG_04120___863	1f
BCRBG_04128___1400	1e
BCRBG_04155___5867	1h
BCRBG_04170___304	3b
BCRBG_04177___230	1f
BCRBG_04191___2055	3c
BCRBG_04200___2948	3b
BCRBG_04206___2183	1e
BCRBG_04209___2001	3d
BCRBG_04239___1596	1f
BCRBG_04243___23	4d
BCRBG_04285___1442	4g
BCRBG_04324___1755	4g
BCRBG_04324___202	3c
BCRBG_04324___412	3b
BCRBG_04346___1370	3b
BCRBG_04346___324	4g
BCRBG_04346___825	3b
BCRBG_04349___615	4b
BCRBG_04412___1476	3c
BCRBG_04412___2445	3c
BCRBG_04412___839	1b
BCRBG_04420___2656	1e
BCRBG_04619___558	4g
BCRBG_04636___807	3d
BCRBG_04796___625	1e
BCRBG_04835___1749	3d
BCRBG_04835___3128	3b
BCRBG_04835___827	1e
BCRBG_04854___1196	3d
BCRBG_04854___2804	1a
BCRBG_04854___3035	4d
BCRBG_04983___180	3d
BCRBG_05003___2181	3c
BCRBG_05005___1559	1a
